Category,Name,Description,Price,Badge
Espresso,Classic Espresso,"A concentrated shot of our signature single-origin blend, pulled to order.",3.25,
Espresso,Doppio,"Double shot of espresso for a bolder, richer intensity.",4.00,
Espresso,Ristretto,"A short, syrupy pull for a sweeter, more concentrated sip.",3.50,
Espresso,Cortado,"Equal parts espresso and warm milk, balanced and smooth.",4.25,Popular
Espresso Drink,Cappuccino,"Espresso topped with steamed milk and a thick layer of foam.",4.75,Popular
Espresso Drink,Caffe Latte,"Smooth espresso with steamed milk and a light layer of foam.",4.95,Popular
Espresso Drink,Flat White,"Velvety micro-foam poured over a double shot of espresso.",5.25,Hot Favorite
Espresso Drink,Caramel Macchiato,"Vanilla-steamed milk marked with espresso and finished with caramel drizzle.",5.75,Hot Favorite
Espresso Drink,Mocha,"Espresso and steamed milk with rich dark chocolate and a whipped cream top.",5.50,
Coffee,House Drip Coffee,"Freshly brewed daily from our rotating single-origin selection.",3.00,
Coffee,Cold Brew,"Steeped for 18 hours for a smooth, low-acid finish, served over ice.",4.25,Popular
Coffee,Pour Over,"Hand-poured, single-origin coffee brewed to order for a clean, bright cup.",4.75,
Coffee,Iced Americano,"Espresso and cold water ov/er ice for a crisp, refreshing sip.",4.00,
Pastry,Butter Croissant,"Flaky, all-butter croissant baked fresh every morning.",3.75,Popular
Pastry,Almond Croissant,"Twice-baked croissant filled with almond cream and topped with sliced almonds.",4.50,
Pastry,Blueberry Muffin,"Moist muffin loaded with wild blueberries and a hint of lemon zest.",3.95,
Pastry,Cinnamon Roll,"Soft-baked roll swirled with cinnamon sugar and finished with cream cheese icing.",4.25,Hot Favorite
Sandwich,Turkey & Swiss Panini,"Roasted turkey, Swiss cheese, and pesto mayo pressed on ciabatta.",8.50,
Sandwich,Avocado & Egg Sandwich,"Smashed avocado, soft scrambled eggs, and arugula on toasted sourdough.",8.95,Popular
Sandwich,Ham & Cheese Croissant,"Black forest ham and melted gruyere baked in a buttery croissant.",7.95,
